"Active Directory (AD) vs LDAP","Active Directory (AD) is a Microsoft technology used to manage computers and other devices on a network. It is a primary feature of Windows Server, an operating system that runs both local and Internet-based servers. Active Directory allows network administrators to create and manage domains, users, and objects within a network. For example, an admin can create a group of users and give them specific access privileges to certain directories on the server. As a network grows, Active Directory provides a way to organize a large number of users into logical groups and subgroups, while providing access control at each level. \nIf you want to make directory information available over the Internet, Lightweight Directory Access Protocol (LDAP) is the way to do it. LDAP is a streamlined version of an earlier directory standard called X.500. What makes LDAP so useful is that it works great over TCP/IP networks (unlike X.500), so information can be accessed through LDAP by anyone with an Internet connection. It is also an open protocol, which means directories can be stored on any type of machine (i.e. Windows 2000, Red Hat Linux, Mac OS X)."
"Address Resolution Protocol (ARP)","Address Resolution Protocol (ARP) is a protocol used for mapping an Internet Protocol (IP) address to a computer connected to a local network LAN. Since each computer has a unique physical address called a MAC address, the ARP converts the IP address to the MAC address. This ensures each computer has a unique network identification."
"Advanced Persistent Threat (APT)","An Advanced Persistent Threat (APT) is a set of stealthy and continuous computer hacking processes, often orchestrated by a person or persons targeting a specific entity."
"ASCII vs Unicode","ASCII (American Standard Code for Information Interchange). By standardization the values used to represent written text, ASCII enables computers to exchange information. Low ASCII code consists of 128 7-bit combinations. This addresses alphanumeric characters and some unprintable characters. High ASCII (extended ASCII) code consists of 128 8-bit combinations of non-alphanumeric characters. This gives ASCII a total of 256 characters: alphanumeric, unprintable, and non-alphanumeric.\nUnicode is a computer standard for encoding characters where each character is represented by sixteen bits. Whereas ASCII, being an 8-bit encoding scheme, can only represent 256 characters, Unicode has 65,536 combinations, enabling it to encode the letters of all written languages as well as thousands of characters in languages such as Japanese and Chinese." 
"BIOS/CMOS/UEFI","BIOS stands for Basic Input Output System. These are instructions on a chip in PC-based computers (firmware). The BIOS has several functions. First it is responsible for testing the hardware connected to the system to make sure it is all working correctly. It also contains a number of settings for how the system interacts with its hardware. Primary to this is what device will be used to boot the system (boot order). Once identified, the BIOS hands off the boot sequence to that device.\nThe BIOS is also where a user can set the date and time on the computer, even though that “clock” is actually a separate chip known as the Complementary Metal-Oxide Semiconductor (CMOS). The long definition can be confusing, but as it applies to a computer, this chip acts as the system clock and draws very little power; requiring only a small battery and can last for years.\nUnified Extensible Firmware Interface (UEFI), is an interface that loads near the beginning of the boot sequence and provides custom configuration options for a PC. It is considered the successor to BIOS and offers many advantages, including mouse support, a graphical user interface, and support for 32-bit and 64-bit systems. UEFI is a standardized version of the original Extensible Firmware Interface (EFI) specification developed by Intel."
"Blockchain","A blockchain is a digital record of transactions. The name comes from its structure, in which individual records, called blocks, are linked together in single list, called a chain. Blockchains are used for recording transactions made with cryptocurrencies, such as Bitcoin, and have many other applications.\nEach transaction added to a blockchain is validated by multiple computers on the Internet. These systems, which are configured to monitor specific types of blockchain transactions, form a peer-to-peer network. They work together to ensure each transaction is valid before it is added to the blockchain. This decentralized network of computers ensures a single system cannot add invalid blocks to the chain."
"Bluetooth","Bluetooth is a wireless technology for transferring data over short distances. It is ideal for wireless mice, keyboards, and speakers." 
"Bourne Again Shell (BASH) vs Shell (SH)","Bourne-Again Shell (BASH) is named after Stephen Bourne, the creator of the Unix Sell (SH). It is a command language interpreter derived from SH that can execute commands entered at a command prompt and process text file input.\nShell (SH) is a command-line interface, which means it is soley text-based. The user can type commands to perform functions such as run programs, open and browse directories, and view processes that are  currently running. Since  the shell is only one layer above the operating system, you can perform operations that are not always possible using the Graphical User Interface (GUI)."
"Carved File","A file that is extracted without the assistance of the file system. This can be extracted from network traffic, slack/unallocated space, or other locations that would have the file with the header information needed to identify it."
"CIFS vs Samba vs SMB","Common Internet File System (CIFS) is a standard file system designed for sharing files over the Internet. It is part of the SMB protocol.\nSamba is an open-source software implementation of the SMB networking protocol used by Windows computers.\nServer Message Block (SMB) is a network protocol used by Windows-based computers that allows systems within the same network to share files."
"Cluster/Sector","A cluster is the smallest allocated area on a piece of storage media. A cluster is an area of computer storage made up of sectors. A cluster can be the same size as a sector (think floppy disk), but most of the time is much larger. On computers we do not write to sectors, we write to clusters.\nA sector is the smallest writeable area on a piece of storage media. For most of the last three decades, a sector was 512 bytes. These days, larger hard drive sizes are increasing the size of a sector."
"Consent (Legal Authority)","In legal authority, consent is the allowance to perform analysis, extraction or otherwise within the boundaries of the law, as long as the person consenting is the correct party to provide permission for the entirety of the expected reach. For example, a network administrator cannot consent to providing all of the contents of a client’s email, or an entire company’s email."
"Cookie","A small text file used by websites to track a user’s activity on that site or related sites. In some instances, the information the cookie gathers is strictly behind the scenes and not noticed by the user. In other instances, the cookie may track what a person purchased on a site. Upon accessing that website a second time, the site may ask if you want to purchase a similar item based off of the last visit you made."
"DoS/DDoS","A Denial of Service (DoS) attack  is an effort to make one or  more computer systems unavailable.\nA Distributed Denial of Service (DDoS) attack tells all coordinated systems to send a stream of requests to a specific server at the same time."
"Database(s)","A database is a data structure that stores organized information."
"SQL vs Not SQL","Structured Query Language (SQL), pronounced as either 'see-quel' or 'S-Q-L', is a query language used for accessing and modifying information in a database. Some common SQL commands include 'insert,' 'update,' and 'delete.'\nThough SQL is now considered to be a standard language, there are still a number of variations of it, such as mSQL and mySQL." 
"Deleted vs Forensically Wiped File","A deleted file is a file that has been removed from the view of a normal user. When a file is deleted in a File Allocation Table (FAT) file system, the first character of the file name within the directory is changed to a hexadecimal E5, a character unrecognized by the Windows Operating System. The FAT is changed to show that the clusters once allocated to the file are marked available for data. The actual data is not changed at that time and may be found until the data is overwritten. In an NTFS file system, the file is marked for deletion in the Master File Table (MFT), but as with FAT file systems, the data is still retrievable until overwritten.\nA forensically wiped file is one that is overwritten with known data in order to remove the file in its entirety from that specific location."
"Digital Forensics","Digital Forensics is a branch of forensic science encompassing the recovery, analysis, and reporting of material found in digital devices, such as hard drives, removable drives, i.e. flash drives and SD cards, and optical media."
"DMG (Apple Disk Image) vs MSI vs ISO vs APK vs IPA","A DMG file is a mountable disk image created in Mac OS X.\nAn MSI file is a package that contains installation information for a particular installer, such as files to be installed and installation locations. It may be used for Windows updates as well as third-party software installers.\nAn ISO file is a common CD or DVD disc image format based on the ISO-9660 standard. It contains an exact duplicate of data from the original disc.\nAn APK file is an app created for Android, Google's mobile operating system.\nAn IPA file is a program written for Apple iOS devices such as iPhone, iPod Touch, or iPad."
"Domain Name Service (DNS) vs Dynamic DNS","Domain Name System (DNS) are used to resolve hostnames to IP Addresses, i.e., yahoo.com resolves to 206.190.36.45.\nDynamic DNS (DDNS or DynDNS) is a method of automatically updating a name server in the DNS, often in real time, with the active DDNS configuration of its configured hostnames, addresses or other information." 
"Encryption","Encryption is the process of encoding messages or information in such a way that only authorized parties can read it. It is based off of the use of a key to lock and unlock the data."
"Whole Disk vs File","Whole Disk encryption uses disk encryption software or hardware to encrypt every bit of data that goes on a disk or disk volume.\nFile encryption focuses merely on encrypting the individual file."
"Asymmetric vs Symmetric","Asymmetric encryption utilizes pairs of keys, public and private, that can be used in securing files in communications to a specific recipient and creating signatures in order to verify a sender. Public keys can be distributed openly and anyone can send to the specific individual by using the public key to encrypt the message. Private keys used to decrypt must be protected.\nSymmetric keys are when a singular key is utilized to encrypt data. The unencrypted data is accessible to anyone knows the key and as access to the data of interest."
"Endian","Endianness refers to the sequential order in which bytes are arranged into larger numerical values when stored in memory or when transmitted over digital links. Endianness is of interest in computer science because two conflicting and incompatible formats are in common use: words may be represented in big-endian or little-endian format, depending on whether bits or bytes or other components are ordered from the big end (most significant bit) or the little end (least significant bit)."
"Entropy","Entropy refers to a lack of order or predictability, an increase of randomness in file contents or input in the realm of Computer Science.\nLow Entropy is when the majority of the file is human readable.\nHigh Entropy demonstrates a more evenly distributed array of character use e.g. increased randomness." 
"EXIF","Exchangeable Image File Format (EXIF) is a standard that specifies how information is stored in some picture formats, i.e. JPG and TIFF, as well as some uncompressed audio formats, such as RIFF and WAV files. Typical uses of the EXIF standard exist in JPG pictures from digital cameras. Some of the information that can be found in digital pictures is the date and time a picture was taken, camera name, serial number, focus and GPS information."
"File Signature vs. File Extension","A file signature is situated at the beginning of the content in some files, but not all files. JPG pictures, MPG movies, and ZIP files all have identifiable signatures. Another term for signature is header. The signature can be a couple of bytes or a large number of bytes, for example, one type of JPG picture has the signature of \xFF\xD8\xFF\xE0\x01.\nMost files also have extensions. The file extension is the three-character string after the period in a file’s name, i.e., tiger.jpg.\nThe forensic significance is that someone could rename a .jpg picture extension to a .txt file extension. Windows would then show a small text file icon next to the file name. This change in extension does not change the file’s content, but may fool someone into believing that the image file is actually a text file."
"File Systems (NTFS/HFS/APFS/ZFS/exFAT/CDFS)","New Technology File System (NTFS) is a file system introduced by Microsoft with Windows NT and is supported by subsequent versions of Windows\nHierarchical File System (HFS) is the file system used for organizing files on a Macintosh hard disk.\nApple File System (APFS) is a file system developed by Apple specifically for flash memory storage devices.\nZ File System (ZFS) is a combined file system and logical volume manager designed by Sun Microsystems (now owned by Oracle). ZFS is scalable, and includes extensive protection against data corruption, support for high storage capacities, efficient data compression, integration of the concepts of file system and volume management, snapshots and copy-on- write clones, continuous integrity checking and automatic repair, RAID-Z, native NFSv4 ACLs, and can be very precisely configured. The only file system to be available open source.\nExtended File Allocation Table (exFAT) is a proprietary Microsoft file system optimized for flash memory. exFAT can be used where the NTFS file system is not a feasible solution, yet the file size limit of the standard FAT32 file system (i.e. 4 GiB) remains in those scenarios.\nCompact Disc File System (CDFS) is a file system used for storing data on CDs."
"FISA","The Foreign Intelligence Surveillance Act of 1978 (FISA) prescribes procedures for requesting  judicial authorization for electronic surveillance and physical search of persons engaged in espionage or international terrorism against the United States on behalf of a foreign power."
"FISA 702","Section 702 of the Foreign Intelligence Surveillance Act authorizes the Intelligence Community to target the communications of non-U.S. persons located outside the United States for foreign intelligence purposes."
"Flash Media/Storage","The data is saved to an electronic chip, or series of chips, instead of a set of magnetically coated disks (hard drive). Flash storage has no moving parts, which allows for very quick saving and accessing of files."
"USB/SD Card","A Universal Serial Bus (USB) flash drive is an electronic storage device. The data is saved to an electronic chip, or series of chips, instead of a set of magnetically coated disks (hard drive). A flash drive has no moving parts, which allows for very quick saving and accessing of files.\nSecure Digital (SD) is a type of memory card used for storing data in devices such as digital cameras, PDAs, mobile phones, portable music players, and digital voice recorders. The card is one of the smaller memory card formats, measuring 24mm wide by 32mm long and is just 2.1mm thick. To give the cards some orientation, the top-right corner of each SD card is slanted."
"Forensically Prepared Media","This refers to a piece of media (hard drive, thumb drive) that is ready to accept a forensic image for processing. This “target” drive is wiped with an identifiable character. By wipe, we mean all of the data on the drive is completely overwritten by that identifiable character.\nIn the early days of forensics, wiping a hard drive was necessary because examiners often worked off of clones of the original drive. Wiping prevented the inadvertent analysis of old data. In modern times, examiners forensically image media. This is an encapsulated format. Analysis of these images is limited to the image itself, not any data outside of the image. Therefore, while wiping is not really necessary from a forensic point of view, we continue to do it as a matter of policy."
"Format","The process by which a piece of magnetic storage, such as a hard drive or a flash drive, is structured to accept data. This process consists of creating a volume boot record, or VBR, setting up a directory structure and noting how many sectors are on the piece of media and grouping them into clusters."
"Free or Unallocated Space","Free space, also known as unallocated space, is that space within a partition that has been formatted and is not currently holding a valid or allocated file. Unallocated space may contain the remnants of deleted files or entire files that have been deleted. It can also contain very little deleted data, depending on how new the drive is."
